Date,Branch,Customer Type,Total
2019-03-12,B,Member,299.3655
2019-03-26,A,Normal,54.999
2019-01-09,A,Member,202.335
2019-01-02,B,Normal,281.169
2019-01-15,C,Normal,586.635
2019-01-01,C,Member,184.086
2019-02-15,A,Normal,163.611
2019-02-28,B,Normal,63.315
2019-03-02,A,Member,82.887
2019-02-13,C,Member,31.227
2019-01-26,A,Normal,22.386
2019-01-30,A,Member,295.407
2019-01-27,A,Member,76.923
2019-01-30,C,Normal,23.499
2019-01-08,C,Member,688.716
2019-01-19,A,Normal,624.33
2019-01-25,A,Normal,77.805
2019-02-19,A,Normal,206.808
2019-01-14,C,Normal,390.9465
2019-02-25,B,Normal,554.295
2019-01-23,A,Member,503.7375
2019-02-16,B,Normal,345.0195
2019-01-01,B,Normal,177.408
2019-03-07,A,Member,118.902
2019-02-15,B,Normal,362.817
2019-01-23,A,Member,450.1035
2019-02-20,C,Member,90.5835
2019-01-08,A,Member,26.796
2019-03-17,B,Normal,106.596
2019-01-12,B,Normal,375.3645
2019-01-08,A,Member,250.7085
2019-01-26,C,Member,106.5015
2019-03-15,B,Member,760.452
2019-01-17,C,Member,131.922
2019-01-08,C,Member,76.5765
2019-01-06,A,Normal,271.278
2019-02-16,A,Member,182.427
2019-03-13,C,Normal,59.325
2019-01-28,B,Member,225.015
2019-01-18,A,Member,561.078
2019-03-19,A,Member,97.818
2019-03-15,C,Normal,548.184
2019-02-12,C,Member,54.9675
2019-02-25,B,Member,41.7375
2019-03-21,A,Normal,756.168
2019-01-19,B,Member,101.64
2019-01-08,B,Member,348.705
2019-03-30,C,Member,85.512
2019-02-20,B,Member,335.895
2019-03-30,A,Member,216.846
2019-03-19,A,Member,175.014
2019-01-13,A,Normal,335.013
2019-02-05,A,Member,92.295
2019-03-23,A,Member,771.435
2019-03-13,C,Normal,102.396
2019-03-17,A,Member,807.66
2019-02-21,C,Normal,439.215
2019-02-07,B,Normal,486.444
2019-03-02,C,Member,485.5725
2019-03-06,B,Normal,148.995
2019-02-06,B,Member,317.835
2019-01-28,B,Normal,832.944
2019-01-18,C,Normal,446.439
2019-02-05,C,Member,297.801
2019-03-02,C,Member,629.16
2019-02-09,A,Member,331.128
2019-01-14,C,Member,423.738
2019-02-09,B,Normal,193.074
2019-03-26,A,Member,145.5825
2019-01-28,A,Normal,84.7455
2019-02-14,C,Normal,122.472
2019-03-24,C,Member,329.196
2019-02-09,C,Normal,888.405
2019-03-24,B,Normal,435.12
2019-03-27,A,Member,167.034
2019-01-27,B,Normal,514.605
2019-03-27,B,Member,91.8225
2019-01-19,C,Normal,235.746
2019-02-07,A,Normal,782.208
2019-01-31,A,Member,431.256
2019-02-25,A,Member,313.74
2019-02-02,C,Normal,223.587
2019-03-14,C,Member,44.9925
2019-03-11,A,Normal,397.614
2019-02-22,B,Normal,217.2555
2019-03-02,B,Member,82.719
2019-03-10,C,Member,338.2155
2019-02-08,B,Normal,103.131
2019-02-22,C,Member,26.733
2019-01-10,C,Normal,611.079
2019-03-14,C,Member,221.886
2019-01-10,B,Normal,57.876
2019-02-15,B,Member,92.7255
2019-01-13,A,Member,374.409
2019-02-15,B,Normal,833.9625
2019-03-02,B,Normal,53.151
2019-03-24,B,Normal,629.496
2019-02-02,C,Member,175.035
2019-02-27,A,Normal,781.62
2019-01-20,C,Normal,470.988
2019-01-03,B,Normal,397.845
2019-01-24,C,Member,270.018
2019-01-05,C,Normal,579.8415
2019-03-30,A,Normal,469.77
2019-02-17,A,Member,290.0835
2019-03-21,C,Normal,360.927
2019-03-02,A,Normal,279.384
2019-03-27,C,Member,943.299
2019-01-19,A,Normal,479.64
2019-02-19,A,Normal,266.6475
2019-03-28,A,Member,74.088
2019-01-05,A,Normal,690.018
2019-03-26,C,Member,176.925
2019-02-03,B,Member,56.469
2019-02-06,C,Member,188.0025
2019-02-24,B,Normal,222.012
2019-02-21,B,Member,125.7165
2019-01-09,B,Member,68.985
2019-02-25,B,Member,263.97
2019-01-13,C,Member,88.368
2019-02-09,B,Member,415.233
2019-01-06,A,Normal,312.8895
2019-01-10,C,Member,477.1305
2019-02-07,B,Normal,289.926
2019-01-09,C,Normal,165.9
2019-02-19,A,Member,932.337
2019-03-18,C,Member,96.579
2019-02-05,A,Member,43.869
2019-03-19,A,Normal,16.275
2019-03-30,C,Member,304.983
2019-01-26,B,Normal,69.993
2019-03-02,B,Normal,80.367
2019-03-04,A,Normal,314.685
2019-01-13,A,Member,255.1815
2019-03-25,A,Normal,49.77
2019-03-11,B,Member,181.0725
2019-01-01,B,Member,888.615
2019-02-10,B,Member,271.2885
2019-01-26,B,Normal,640.038
2019-02-11,A,Normal,252.252
2019-02-07,C,Normal,180.873
2019-03-06,B,Member,104.832
2019-03-04,A,Normal,313.572
2019-02-26,B,Member,167.58
2019-03-10,B,Normal,26.7225
2019-02-04,B,Normal,71.1585
2019-01-19,C,Member,250.278
2019-01-23,A,Normal,244.23
2019-03-14,A,Member,921.186
2019-01-23,C,Normal,734.706
2019-01-09,C,Normal,708.3195
2019-02-07,B,Normal,334.4775
2019-02-18,B,Normal,30.996
2019-01-03,B,Member,520.8
2019-03-29,C,Member,864.57
2019-01-28,B,Member,633.108
2019-03-22,A,Normal,296.94
2019-01-24,B,Normal,804.3
2019-03-10,A,Normal,121.863
2019-02-22,B,Normal,183.645
2019-02-18,C,Member,63.9975
2019-01-29,C,Normal,42.3675
2019-03-02,B,Normal,1022.49
2019-02-09,A,Member,33.432
2019-02-22,A,Normal,69.111
2019-02-18,A,Member,649.299
